Time,Pico32_1,Pico32_2,5TM_1,5TM_2,10HS_3,10HS_4,theta_grav
2017-03-18 15:00:00,0.18730000000000002,0.1512,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.17372233256939318
2017-03-18 15:10:00,0.1872,0.1515,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.17369686783804622
2017-03-18 15:20:00,0.18739999999999998,0.15130000000000002,0.09636683017015457,0.11111623048782349,0.24456553161144257,0.2269136607646942,0.17368413547237263
2017-03-18 15:30:00,0.187,0.1512,0.09589965641498566,0.11202526092529297,0.24410690367221832,0.2269136607646942,0.17365867074102548
2017-03-18 15:40:00,0.187,0.1514,0.09589965641498566,0.11202526092529297,0.24410690367221832,0.2269136607646942,0.1736459383753521
2017-03-18 15:50:00,0.187,0.1512,0.09589965641498566,0.11202526092529297,0.24410690367221832,0.2269136607646942,0.17363320600967852
2017-03-18 16:00:00,0.187,0.1514,0.09589965641498566,0.11247921735048294,0.24410690367221832,0.2269136607646942,0.17360774127833134
2017-03-18 16:10:00,0.18730000000000002,0.1516,0.09589965641498566,0.11247921735048294,0.24410690367221832,0.2264411896467209,0.17360774127833134
2017-03-18 16:20:00,0.18730000000000002,0.15130000000000002,0.09589965641498566,0.11247921735048294,0.24410690367221832,0.2264411896467209,0.1735822765469844
2017-03-18 16:30:00,0.1869,0.15130000000000002,0.09589965641498566,0.11247921735048294,0.24410690367221832,0.2264411896467209,0.17356954418131082
2017-03-18 16:40:00,0.18760000000000002,0.1517,0.0954321026802063,0.11247921735048294,0.24410690367221832,0.2264411896467209,0.17355681181563723
2017-03-18 16:50:00,0.18660000000000002,0.15109999999999998,0.0949641689658165,0.11338600516319275,0.24318893253803253,0.2264411896467209,0.17353134708429005
2017-03-18 17:00:00,0.18730000000000002,0.151,0.0949641689658165,0.11338600516319275,0.24318893253803253,0.2264411896467209,0.17351861471861668
2017-03-18 17:10:00,0.18730000000000002,0.151,0.09449584782123566,0.11338600516319275,0.24181008338928223,0.2264411896467209,0.1735058823529431
2017-03-18 17:20:00,0.18670000000000003,0.15080000000000002,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.1734804176215959
2017-03-18 17:30:00,0.1868,0.1509,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.17346768525592232
2017-03-18 17:40:00,0.18670000000000003,0.1507,0.09308860450983047,0.11293280124664307,0.24042882025241852,0.2264411896467209,0.17345495289024898
2017-03-18 17:50:00,0.18670000000000003,0.1507,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.1734422205245754
2017-03-18 18:00:00,0.18670000000000003,0.15080000000000002,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.1734167557932282
2017-03-18 18:10:00,0.1865,0.15109999999999998,0.09308860450983047,0.11247921735048294,0.24042882025241852,0.2264411896467209,0.17340402342755462
2017-03-18 18:20:00,0.1872,0.1512,0.09402714669704437,0.11111623048782349,0.24181008338928223,0.2264411896467209,0.17339129106188125
2017-03-18 18:30:00,0.18710000000000002,0.15130000000000002,0.09636683017015457,0.10974987596273422,0.2450239360332489,0.2269136607646942,0.1733785586962077
2017-03-18 18:40:00,0.187,0.151,0.0949641689658165,0.11157093197107315,0.2427295744419098,0.2264411896467209,0.1733530939648605
2017-03-18 18:50:00,0.1872,0.1512,0.09308860450983047,0.11202526092529297,0.24042882025241852,0.2264411896467209,0.17334036159918692
2017-03-18 19:00:00,0.1872,0.15109999999999998,0.09308860450983047,0.11202526092529297,0.24042882025241852,0.2264411896467209,0.17332762923351355
2017-03-18 19:10:00,0.18660000000000002,0.1512,0.09449584782123566,0.11202526092529297,0.24226996302604675,0.2264411896467209,0.17330216450216637
2017-03-18 19:20:00,0.18670000000000003,0.15080000000000002,0.09402714669704437,0.11293280124664307,0.24226996302604675,0.2264411896467209,0.17328943213649278
2017-03-18 19:30:00,0.1865,0.1503,0.0954321026802063,0.11111623048782349,0.24364803731441498,0.2264411896467209,0.1732766997708192
2017-03-18 19:40:00,0.1863,0.15050000000000002,0.0949641689658165,0.11293280124664307,0.24318893253803253,0.2264411896467209,0.17326396740514585
2017-03-18 19:50:00,0.1868,0.1507,0.0949641689658165,0.11247921735048294,0.24318893253803253,0.2264411896467209,0.17325123503947226
2017-03-18 20:00:00,0.1869,0.1506,0.0954321026802063,0.11202526092529297,0.24410690367221832,0.2264411896467209,0.17323850267379867
